day,actual,testPredict
0,2,
1,2,
2,4,
3,5,
4,5,
5,15,
6,23,
7,29,
8,49,
9,69,
10,72,
11,176,
12,250,
13,397,
14,741,
15,890,
16,1327,
17,1914,
18,2844,
19,3675,
20,4402,
21,6876,
22,8825,
23,11124,
24,13386,
25,16636,
26,18696,
27,22255,
28,25590,
29,29895,
30,34124,
31,37505,
32,41090,
33,44416,
34,47437,
35,51027,
36,54588,
37,58151,
38,61850,
39,64584,
40,68824,
41,71030,
42,75317,
43,78467,
44,81420,
45,85301,
46,88722,
47,92387,
48,95914,
49,100025,
50,102196,
51,105498,
52,109038,
53,111188,
54,113856,
55,116365,
56,118652,
57,121190,
58,123717,
59,126744,
60,0,127168.2256
61,0,129123.1412
62,0,130931.5465
63,0,132533.943
64,0,133951.5284
65,0,135162.3646
66,0,136519.001
67,0,137752.6969
68,0,138886.8861
69,0,139952.0582
